,Full name,Symbol letter,Electron configuration,Atomic number,Atomic mass,van der Waals radius,Atomic radius,Covalent radius,Melting point,Boiling point,First electron affinity,First ionization energy,Electronegativity Pauling,Electronegativity Allred,Electronegativity Absolute,Chemical formula_Elemental atomic volume,Chemical formula_Elemental bulk modulus,Chemical formula_Elemental crystal structure (space group),Chemical formula_Elemental density,Chemical formula_Elemental electron density,Chemical formula_Elemental magnetic moment,Chemical formula_Elemental melting temperature,Chemical formula_Elemental polarizability,Chemical formula_Elemental work function,Chemical formula_Mendeleev number,Chemical formula_Number of d valence electrons,Chemical formula_Number of f valence electrons,Chemical formula_Number of p valence electrons,Chemical formula_Number of s valence electrons,Chemical formula_Number of unfilled f valence electrons,Chemical formula_Number of unfilled p valence electrons,Chemical formula_Number of unfilled s valence electrons,Chemical formula_Pauling electronegativity,Chemical formula_Radius of d orbitals,Chemical formula_Radius of p orbitals,Chemical formula_Radius of s orbitals,Chemical formula_Row in periodic table,Chemical formula_Total number of unfilled valence electrons,Chemical formula_Total number of valence electrons,Density
10,Sodium,Na,3s1,11,22.989768,231,154,166,370.96,1156.1,52.9,495.8,0.93,1.01,2.85,39.76,6.3,229.0,968.0,0.82,0.0,370.87,24.11,2.7,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.93,0.4013396226415093,1.55,1.1,3.0,1.0,1.0,1.193366610322584
11,Magnesium,Mg,3s2,12,24.305,,160,141,922,1363,0,737.7,1.31,1.23,3.75,23.48,45.0,194.0,1738.0,1.17,0.0,923.0,10.7666666667,3.45,68.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.31,0.4013396226415093,1.13,0.9,3.0,0.0,2.0,2.4961256560194673
12,Aluminum,Al,3s23p1,13,26.981539,205,143,121,933.52,2740,42.5,577.4,1.61,1.47,3.23,16.61,76.0,225.0,2700.0,1.39,0.0,933.47,6.8,4.2,73.0,0.0,0.0,1.0,2.0,0.0,5.0,0.0,1.61,0.4013396226415093,0.905,0.77,3.0,5.0,3.0,3.841426008572939
13,Silicon,Si,3s23p2,14,28.0855,200,117,111,1683,2628,133.6,786.5,1.9,1.74,4.77,20.02,100.0,227.0,2330.0,1.5,0.0,1687.0,5.53,4.7,78.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0,1.9,0.4013396226415093,0.74,0.68,3.0,4.0,4.0,2.9753971249223974
14,Phosphorus,P,3s23p3,15,30.973762,190,93,107,317.3,553,72,1011.7,2.19,2.06,5.62,18.99,11.0,2.0,1823.0,1.65,0.0,317.3,3.63,5.55,83.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,2.19,0.4013396226415093,0.64,0.6,3.0,3.0,5.0,2.919271739977619
15,Sulfur,S,3s23p4,16,32.066,185,104,105,386,717.824,200,999.6,2.58,2.44,6.22,25.76,7.7,70.0,1960.0,1.366575342465753,0.0,388.36,2.9,4.034246575342466,88.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,2.58,0.4013396226415093,0.56,0.54,3.0,2.0,6.0,3.2911331995468576
16,Chlorine,Cl,3s23p5,17,35.4527,181,,102,172.17,239.18,349,1251.1,3.16,2.83,8.3,29.05,1.1,64.0,3.214,1.366575342465753,0.0,171.6,2.18,4.034246575342466,94.0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,3.16,0.4013396226415093,0.51,0.5,3.0,1.0,7.0,3.325416304730272
17,Argon,Ar,3s23p6,18,39.948,191,174,106,83.78,87.29,-1106,1520.4,,3.2,7.7,36.3,90.79420289855072,225.0,1.784,1.366575342465753,0.0,83.8,1.6411,4.034246575342466,100.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,1.7151020408163267,0.4013396226415093,0.46,0.46,3.0,0.0,8.0,3.515107430122107
18,Potassium,K,4s1,19,39.0983,231,227,203,336.8,1047,48.4,418.8,0.82,0.91,2.42,75.63,3.1,229.0,856.0,0.65,0.0,336.53,43.23,2.25,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.82,0.37,2.15,1.54,4.0,1.0,1.0,1.41134737465176
19,Calcium,Ca,4s2,20,40.078,,197,176,1112,1757,2.37,589.7,1,1.04,2.2,44.19,17.0,225.0,1550.0,0.91,0.0,1115.0,25.7333333333,2.55,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.34,1.68,1.32,4.0,0.0,2.0,2.463262674229904
